,OFS,Commune,District,Population,Area,Density,Latitude,Longitude
112,5521,Étagnières,Gros-de-Vaud,1118,3.79,295,46.6001382,6.6134167
113,5636,Étoy,Morges,2905,4.91,592,46.4860906,6.4193113
114,5716,Eysins,Nyon,1618,2.38,680,46.3807218,6.2042596
115,5458,Faoug,Broye-Vully,904,3.45,262,46.9057923,7.0740011
116,5427,Féchy,Morges,860,2.7,319,46.4786555,6.3747532
117,5483,Ferreyres,Morges,310,3.15,98,46.6577788,6.4860425
118,5556,Fiez,Jura-Nord vaudois,447,6.84,65,46.8280744,6.6240029
119,5557,Fontaines-sur-Grandson,Jura-Nord vaudois,218,7.85,28,46.853893299999996,6.599270927451933
120,5604,Forel,Lavaux-Oron,2082,18.51,112,46.7282576,6.8222876
121,5717,Founex,Nyon,3790,4.79,791,46.3338174,6.1943733
122,5523,Froideville,Gros-de-Vaud,2576,7.08,364,46.6012433,6.6816355
123,5718,Genolier,Nyon,1961,4.87,403,46.4350251,6.2178235
124,5559,Giez,Jura-Nord vaudois,412,4.77,86,46.8117633,6.6177511
125,5857,Gilly,Nyon,1324,7.76,171,46.4575111,6.2969883
126,5428,Gimel,Morges,2186,18.89,116,46.5088102,6.3070695
127,5719,Gingins,Nyon,1226,12.58,97,46.4094508,6.1779167
128,5720,Givrins,Nyon,1033,3.97,260,46.4289779,6.2017676
129,5721,Gland,Nyon,13101,8.32,1575,46.4212913,6.2675845
130,5484,Gollion,Morges,939,5.44,173,46.5852339,6.5088361
131,5541,Goumoëns,Gros-de-Vaud,1119,10.69,105,46.6588604,6.60448910808263
132,5485,Grancy,Morges,398,5.69,70,46.5915221,6.4649462
133,5817,Grandcour,Broye-Vully,929,10.21,91,46.8718747,6.928747
134,5560,Grandevent,Jura-Nord vaudois,238,3.45,69,46.8388002,6.6065632
135,5561,Grandson,Jura-Nord vaudois,3360,7.86,427,46.8086306,6.6417532
136,5722,Grens,Nyon,391,2.56,153,46.3937213,6.1916774
137,5405,Gryon,Aigle,1332,15.22,88,46.2746628,7.063671
138,5819,Henniez,Broye-Vully,341,2.61,131,46.7422549,6.8834048
139,5673,Hermenches,Broye-Vully,364,4.77,76,46.6419061,6.7602141
140,5885,Jongny,Riviera-Pays-d'Enhaut,1536,2.16,711,46.4788533,6.8418378
141,5804,Jorat-Menthue,Gros-de-Vaud,1586,17.65,90,46.6305367,6.719207321984818
142,5791,Jorat-Mézières,Lavaux-Oron,1216,3.48,349,46.596773400000004,6.7764275151885025
143,5585,Jouxtens-Mézery,Lausanne,1471,1.93,762,46.5532677,6.5980688
144,5754,Juriens,Jura-Nord vaudois,308,9.36,33,46.6911431,6.4500103
145,5474,La Chaux,Morges,410,6.75,61,46.61604,6.472555
146,5758,La Praz,Jura-Nord vaudois,165,5.12,32,46.6675257,6.4272029
147,5726,La Rippe,Nyon,1161,16.61,70,46.3815133,6.1504437
148,5498,La Sarraz,Morges,2596,7.71,337,46.6590583,6.5124448
149,5889,La Tour-de-Peilz,Riviera-Pays-d'Enhaut,11871,3.24,3664,46.4537524,6.8569063
150,5871,L'Abbaye,Jura-Nord vaudois,1481,31.88,46,46.6492716,6.3186169
151,5741,L'Abergement,Jura-Nord vaudois,248,5.78,43,46.7537886,6.4886777
152,5586,Lausanne,Lausanne,139720,41.38,3377,46.5218269,6.6327025
153,5406,Lavey-Morcles,Aigle,946,14.19,67,46.2073771,7.041464065020305
154,5637,Lavigny,Morges,999,4.0,250,46.5011843,6.4045912
155,5872,Le Chenit,Jura-Nord vaudois,4605,99.25,46,46.6046637,6.2337695
156,5873,Le Lieu,Jura-Nord vaudois,875,32.55,27,46.6462186,6.280313
157,5587,Le Mont-sur-Lausanne,Lausanne,8516,9.82,867,46.55891525,6.639731595932881
158,5731,Le Vaud,Nyon,1319,3.11,424,46.4774891,6.2355007
159,5750,Les Clées,Jura-Nord vaudois,185,7.04,26,46.7320659,6.4626883
160,5407,Leysin,Aigle,3939,18.57,212,46.3438701,7.0148403
161,5755,Lignerolle,Jura-Nord vaudois,422,10.66,40,46.7407875,6.4559997
162,5486,L'Isle,Morges,1005,16.21,62,46.6187582,6.411704
163,5638,Lonay,Morges,2593,3.71,699,46.5265684,6.5206068
164,5429,Longirod,Nyon,478,9.44,51,46.4943826,6.2581282
165,5674,Lovatens,Broye-Vully,146,3.47,42,46.6918052,6.8641889
166,5675,Lucens,Broye-Vully,4199,17.7,237,46.708447,6.8389766
167,5858,Luins,Nyon,613,2.67,230,46.442819,6.271154
168,5639,Lully,Morges,790,2.05,385,46.5052587,6.4647302
169,5487,Lussery-Villars,Gros-de-Vaud,462,3.73,124,46.6309961,6.5251994
170,5640,Lussy-sur-Morges,Morges,687,2.34,294,46.5028627,6.4508849
171,5606,Lutry,Lavaux-Oron,10285,8.45,1217,46.5032766,6.6867879
172,5790,Maracon,Lavaux-Oron,492,4.38,112,46.5500232,6.8727444
173,5430,Marchissy,Nyon,463,11.98,39,46.4880203,6.2468313
174,5919,Mathod,Jura-Nord vaudois,611,6.59,93,46.7667908,6.5647296
175,5562,Mauborget,Jura-Nord vaudois,122,5.51,22,46.8558706,6.6146584
176,5488,Mauraz,Morges,59,0.5,118,46.6054096,6.4227461
177,5489,Mex,Gros-de-Vaud,725,2.83,256,46.5779644,6.5532248
178,5723,Mies,Nyon,2075,3.45,601,46.3060321,6.1723029
179,5821,Missy,Broye-Vully,368,3.11,118,46.8798752,6.9698165
180,5490,Moiry,Morges,310,6.67,46,46.6485694,6.4552312
181,5431,Mollens,Morges,283,11.0,26,46.577232,6.3634849
182,5921,Molondin,Jura-Nord vaudois,235,5.49,43,46.7606762,6.7492454
183,5922,Montagny-près-Yverdon,Jura-Nord vaudois,738,3.52,210,46.7894905,6.610159330323476
184,5693,Montanaire,Gros-de-Vaud,2685,33.48,80,46.6941453,6.760946481366604
185,5756,Montcherand,Jura-Nord vaudois,489,3.06,160,46.7330803,6.5102099
186,5432,Montherod,Morges,536,4.97,108,46.4998683,6.367545
187,5540,Montilliez,Gros-de-Vaud,1781,11.87,150,46.64512105,6.683500411997131
188,5491,Mont-la-Ville,Morges,466,19.75,24,46.645546,6.4077926
189,5859,Mont-sur-Rolle,Nyon,2651,3.85,689,46.470957,6.3365929
190,5792,Montpreveyres,Lavaux-Oron,643,4.1,157,46.581339,6.740799
191,5886,Montreux,Riviera-Pays-d'Enhaut,26006,33.37,779,46.4310831,6.9129921
192,5492,Montricher,Morges,940,25.98,36,46.6001762,6.375822
193,5642,Morges,Morges,15725,3.85,4084,46.5093268,6.498317
194,5527,Morrens,Gros-de-Vaud,1077,3.66,294,46.5904805,6.6267885
195,5678,Moudon,Broye-Vully,6135,15.69,391,46.6680664,6.8003478
196,5563,Mutrux,Jura-Nord vaudois,158,3.21,49,46.8825207,6.7261849
197,5564,Novalles,Jura-Nord vaudois,101,2.06,49,46.8284542,6.5956886
198,5408,Noville,Aigle,1113,10.35,108,46.3817112,6.8996176
199,5724,Nyon,Nyon,21239,6.79,3128,46.3820585,6.2402791
200,5680,Ogens,Gros-de-Vaud,299,3.41,88,46.7111659,6.7227737
201,5409,Ollon,Aigle,7461,59.56,125,46.2972426,6.9950257
202,5565,Onnens,Jura-Nord vaudois,494,5.11,97,46.8391148,6.6884927
203,5923,Oppens,Gros-de-Vaud,196,3.59,55,46.714312,6.6923429
204,5757,Orbe,Jura-Nord vaudois,6942,12.02,578,46.724144,6.5317943
205,5924,Orges,Jura-Nord vaudois,332,4.02,83,46.8082246,6.5875324
206,5410,Ormont-Dessous,Aigle,1121,64.07,17,46.374411499999994,7.072978985568091
207,5411,Ormont-Dessus,Aigle,1446,61.65,23,46.3425781,7.1630702854579456
208,5493,Orny,Morges,368,5.56,66,46.6676263,6.5256309
209,5805,Oron,Lavaux-Oron,5501,24.59,224,46.55583515,6.82736275700439
210,5925,Orzens,Jura-Nord vaudois,196,4.2,47,46.7239217,6.6830459
211,5529,Oulens-sous-Échallens,Gros-de-Vaud,611,5.86,104,46.6464677,6.5713604049689955
212,5530,Pailly,Gros-de-Vaud,561,5.77,97,46.7013191,6.6745
213,5494,Pampigny,Morges,1113,11.09,100,46.5806506,6.4284521
214,5588,Paudex,Lavaux-Oron,1507,0.48,3140,46.5056892,6.6732336
215,5822,Payerne,Broye-Vully,9971,24.19,412,46.8208047,6.939126
