,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
125,Cossonay,46.6138202,6.508938,Tawan Thaï,46.61455754957876,6.508026123046875,Asian Restaurant
126,Cossonay,46.6138202,6.508938,La Fleur de Sel,46.614145901492535,6.508645642833973,Swiss Restaurant
127,Cossonay,46.6138202,6.508938,La Fourmi Provencale,46.61290517151943,6.506583607881316,Bakery
128,Crassier,46.374331,6.164548,Au Boeuf Rouge,46.37438456248669,6.163624060426811,Swiss Restaurant
129,Crassier,46.374331,6.164548,La Boît’ à Pizza,46.373808,6.163578,Pizza Place
130,Crassier,46.374331,6.164548,Auberge de Crassier,46.374622465002965,6.163108106260848,French Restaurant
131,Crissier,46.5538658,6.5772501,Restaurant de l’Hôtel de Ville de Crissier,46.553996327844736,6.576703421071869,French Restaurant
132,Crissier,46.5538658,6.5772501,Cafe Du Soleil,46.550823208146134,6.579164891816164,Restaurant
133,Crissier,46.5538658,6.5772501,Palais des saucisses au sucre,46.55158306691152,6.581397331535073,Dumpling Restaurant
134,Croy,46.6945678,6.4771721,Clef d'Or - St Romain,46.69464489015689,6.4779617478022,Diner
135,Croy,46.6945678,6.4771721,Rôtisserie Au Gaulois,46.69477643344098,6.478148028285816,Diner
136,Croy,46.6945678,6.4771721,Café-Restaurant de la Gare,46.694718764793684,6.478079067637137,Diner
137,Croy,46.6945678,6.4771721,Fleur de Farine,46.6946747921454,6.478186330633653,Bakery
138,Cudrefin,46.9560359,7.0183078,Chez Popeye,46.95753,7.016639,Seafood Restaurant
139,Cudrefin,46.9560359,7.0183078,Hotel de Ville,46.95574962899978,7.015039829343078,Diner
140,Cudrefin,46.9560359,7.0183078,Baywatch,46.958127,7.015707,Snack Place
141,Cugy,46.5842947,6.6404485,Net Viet,46.584149,6.639388,Vietnamese Restaurant
142,Cugy,46.5842947,6.6404485,Fleur de Pains,46.584516,6.639696,Bakery
143,Cugy,46.5842947,6.6404485,Max Poulet,46.58323003134352,6.635455293672013,Food Truck
144,Daillens,46.6202897,6.5487115,Auberge La Balance,46.620314,6.547981,Restaurant
145,Daillens,46.6202897,6.5487115,Boulangerie / Epicerie P. Clément,46.620182,6.548254,Bakery
146,Denens,46.518323,6.4564786,Charme Thaï,46.517280987908514,6.45746648311615,Asian Restaurant
147,Denens,46.518323,6.4564786,Paindino,46.518518,6.45658,Bakery
148,Denges,46.5241679,6.5402546,Le Rendez-Vous,46.523983001708984,6.540297031402588,Chinese Restaurant
149,Denges,46.5241679,6.5402546,L'ECHO PAIN,46.523726,6.540611,Bakery
150,Denges,46.5241679,6.5402546,Café Des Amis,46.522048893088005,6.537936900967209,Restaurant
151,Donneloye,46.744325,6.7155281,La Clef Des Champs,46.742996,6.713877,Restaurant
152,Donneloye,46.744325,6.7155281,Cle Aux Champs,46.74314759890983,6.713240428207936,Restaurant
153,Duillier,46.4097312,6.235451,Caveau à Poquet,46.410892,6.23668,Swiss Restaurant
154,Duillier,46.4097312,6.235451,Auberge De Duillier,46.408097,6.234426,French Restaurant
155,Dully,46.4304617,6.2957383,Auberge Communale de Dully,46.429381002515335,6.2957168299554365,French Restaurant
156,Échallens,46.6381163,6.6346951,Maison du Blé et du Pain,46.64183524696606,6.632661015233224,Restaurant
157,Échallens,46.6381163,6.6346951,Hôtel De Ville,46.641413285614526,6.6323566254438875,French Restaurant
158,Échallens,46.6381163,6.6346951,Max Poulet,46.6373493,6.6348842,Food Truck
159,Échallens,46.6381163,6.6346951,Auberge Du Cheval Blanc,46.63942118511906,6.6352557858051995,French Restaurant
160,Échandens,46.534381,6.5410474,Jacquat,46.535024,6.541629,Bakery
161,Échandens,46.534381,6.5410474,Restaurant Du Léman,46.53364423662401,6.540795927413441,Swiss Restaurant
162,Échandens,46.534381,6.5410474,Auberge Communale d'Echandens,46.534313816749155,6.541305796109732,Swiss Restaurant
163,Échandens,46.534381,6.5410474,Max Poulet,46.53099193902322,6.541021367555786,Food Truck
164,Échichens,46.5265541,6.4978862,Il Sibò,46.526125,6.49806,Italian Restaurant
165,Échichens,46.5265541,6.4978862,Café vaudois,46.52615009688043,6.498223315362214,Swiss Restaurant
166,Éclépens,46.6515007,6.5285061,Auberge Eclépens,46.652667935487045,6.526246511108431,Pizza Place
167,Écublens,46.5261672,6.5620735,Fleur de Pains,46.52874638677079,6.566542051396329,Bakery
168,Écublens,46.5261672,6.5620735,Restaurant Le Motty,46.52600770067726,6.561406072352255,Swiss Restaurant
169,Écublens,46.5261672,6.5620735,Burrito Brothers,46.52241196533247,6.565643209053592,Burrito Place
170,Écublens,46.5261672,6.5620735,Gina,46.52252417494592,6.565572262723721,Italian Restaurant
171,Épalinges,46.547327,6.6726245,Café Restaurant Des Tramways,46.54770831962344,6.67130059081537,Italian Restaurant
172,Épalinges,46.547327,6.6726245,Fleur de pains,46.54839873865041,6.673498065019109,Bakery
173,Épalinges,46.547327,6.6726245,Sushi Zen,46.548181812802426,6.6726891780007715,Japanese Restaurant
174,Épalinges,46.547327,6.6726245,Restaurant Chinois Le Bon-Vivant,46.54819805140764,6.672980905251694,Chinese Restaurant
175,Étagnières,46.6001382,6.6134167,Auberge D'Etagnière,46.59985761447883,6.613099875866644,Steakhouse
176,Étagnières,46.6001382,6.6134167,Tai Po,46.601206,6.613702,Chinese Restaurant
177,Étoy,46.4860906,6.4193113,Auberge Communale d'Etoy,46.48606510477343,6.419337917539862,Swiss Restaurant
178,Étoy,46.4860906,6.4193113,Aux Pierrots,46.48606628854274,6.419301709434217,Bakery
179,Étoy,46.4860906,6.4193113,La Esquina Argentina,46.484423,6.4215,Argentinian Restaurant
180,Eysins,46.3807218,6.2042596,Ecusson-Vaudois,46.380897,6.205879,Swiss Restaurant
181,Eysins,46.3807218,6.2042596,Malakoffs,46.380743,6.206015,Swiss Restaurant
182,Faoug,46.9057923,7.0740011,Restaurant de la Gare,46.907806,7.073751,Swiss Restaurant
183,Faoug,46.9057923,7.0740011,Restaurant Werft Faoug,46.907732,7.070701,Modern European Restaurant
184,Féchy,46.4786555,6.3747532,Auberge De Fechy,46.479478,6.373228,French Restaurant
185,Founex,46.3338174,6.1943733,Mamma Luigia Ginevra,46.330427,6.191617,Pizza Place
186,Froideville,46.6012433,6.6816355,De La Poste,46.60098863960298,6.681341586694801,Swiss Restaurant
187,Genolier,46.4350251,6.2178235,Auberge des Trois Tilleuls,46.435447327173094,6.217048721063706,French Restaurant
188,Genolier,46.4350251,6.2178235,Café Restaurant Les Trois Suisses,46.43506538854943,6.218230588463375,Swiss Restaurant
189,Genolier,46.4350251,6.2178235,Auberge Aux 3 Tilleuls,46.43515074099382,6.2179505825042725,Swiss Restaurant
190,Gilly,46.4575111,6.2969883,Auberge Communale de Gilly,46.4576755,6.29613605,Swiss Restaurant
191,Gimel,46.5088102,6.3070695,Café-Restaurant de la Poste,46.50867304198708,6.308218348244899,Diner
192,Gingins,46.4094508,6.1779167,Auberge de la Poste,46.411559191537314,6.177707323886642,Spanish Restaurant
193,Givrins,46.4289779,6.2017676,Boulangerie Spichiger,46.428662,6.201394,Bakery
194,Givrins,46.4289779,6.2017676,Auberge Au Sapin,46.429176330566406,6.202269077301025,French Restaurant
195,Gland,46.4212913,6.2675845,Profumo d'Italia,46.42166753603133,6.262204836311532,Pizza Place
196,Gland,46.4212913,6.2675845,Buffet de la Gare,46.42046792717036,6.268870390772928,Mediterranean Restaurant
197,Gland,46.4212913,6.2675845,hubiz,46.42048226484189,6.269016830443544,Diner
198,Gland,46.4212913,6.2675845,Namoo,46.421124,6.262547,Korean Restaurant
199,Goumoëns,46.6588604,6.60448910808263,Pizza des Anges,46.65814338972313,6.604244623304844,Pizza Place
200,Grancy,46.5915221,6.4649462,Maison De Ville De Grancy,46.59214,6.465769,Swiss Restaurant
201,Grandcour,46.8718747,6.928747,Café De L’union,46.871871,6.928055,Spanish Restaurant
202,Grandson,46.8086306,6.6417532,tony,46.808748,6.642243,Restaurant
203,Grandson,46.8086306,6.6417532,Hotel Restaurant Du Lac,46.807216,6.643322,Restaurant
204,Grandson,46.8086306,6.6417532,L'arboulastre,46.808524,6.645378,Restaurant
205,Grandson,46.8086306,6.6417532,Kiosque de la Place,46.80935202985938,6.645396586897223,Bakery
206,Grandson,46.8086306,6.6417532,Restaurant des Quais,46.806107421633236,6.642957483809635,French Restaurant
207,Grandson,46.8086306,6.6417532,Bar Le Châtelet,46.809475,6.6467924,Café
208,Grandson,46.8086306,6.6417532,Restaurant Du Cercle De La Voile,46.80505,6.63956992,Restaurant
209,Grandson,46.8086306,6.6417532,Restaurant Le Pécos,46.80500502055939,6.6388754547188,Restaurant
210,Gryon,46.2746628,7.063671,Buffet de la Gare,46.273942,7.060706,Swiss Restaurant
211,Gryon,46.2746628,7.063671,Maison Du Terroir,46.273862,7.063922,Deli / Bodega
212,Gryon,46.2746628,7.063671,Café-Restaurant des Alpes,46.27416960981184,7.065047482532382,Restaurant
213,Henniez,46.7422549,6.8834048,Jimmy's Corner,46.741224,6.887476,Restaurant
214,Jongny,46.4788533,6.8418378,restaurant-pizzeria les trois suisses,46.479219,6.842167,Pizza Place
215,Jongny,46.4788533,6.8418378,Les 3 suisses,46.479367365065045,6.842077264273,Diner
216,Jorat-Mézières,46.596773400000004,6.7764275151885025,Auberge communale Mezieres,46.59562301635742,6.77055931091309,Diner
217,La Chaux,46.61604,6.472555,Auberge Communale,46.615977,6.473684,French Restaurant
218,La Chaux,46.61604,6.472555,auberge de la chaux,46.615814208984375,6.471782207489014,Restaurant
219,La Rippe,46.3815133,6.1504437,Auberge de l'Etoile,46.3801373770567,6.151917337506733,French Restaurant
220,La Sarraz,46.6590583,6.5124448,Le Casino,46.658748,6.516897,Portuguese Restaurant
221,La Sarraz,46.6590583,6.5124448,Restaurant de la Piscine de la Venoge,46.66102,6.508899,Restaurant
222,La Tour-de-Peilz,46.4537524,6.8569063,Veneto,46.455489085042224,6.854807234421679,Italian Restaurant
223,La Tour-de-Peilz,46.4537524,6.8569063,La Chaumière,46.45755765773049,6.857799671729538,French Restaurant
224,La Tour-de-Peilz,46.4537524,6.8569063,Restaurant Résidence Rive-Reine,46.450335047477154,6.859522646055868,Swiss Restaurant
225,La Tour-de-Peilz,46.4537524,6.8569063,Augnet Confiseur,46.45540864902353,6.862965273411777,Bakery
226,Lausanne,46.5218269,6.6327025,Eat Me,46.520266,6.632343,Restaurant
227,Lausanne,46.5218269,6.6327025,Le Pointu,46.52334,6.630874,Breakfast Spot
228,Lausanne,46.5218269,6.6327025,Uchitomi,46.521304,6.631869,Japanese Restaurant
229,Lausanne,46.5218269,6.6327025,Inglewood,46.522352680808446,6.631424466206092,Burger Joint
230,Lausanne,46.5218269,6.6327025,Prince d'Egypte,46.520878127246874,6.634640834047365,Falafel Restaurant
231,Lausanne,46.5218269,6.6327025,Crêperie de La Chandeleur,46.5216729416307,6.634691303041087,Creperie
232,Lausanne,46.5218269,6.6327025,Le Petit Central,46.52083514343545,6.63304575256861,French Restaurant
233,Lausanne,46.5218269,6.6327025,Café du Grûtli,46.521906908978046,6.63360302774349,Swiss Restaurant
234,Lausanne,46.5218269,6.6327025,Eligo,46.52078818738676,6.635395485981121,Modern European Restaurant
235,Lausanne,46.5218269,6.6327025,Café de l'Hôtel de Ville,46.52221699247369,6.632455235071693,Café
236,Lausanne,46.5218269,6.6327025,Pinte Besson,46.5231058074167,6.629603477039009,Swiss Restaurant
237,Lausanne,46.5218269,6.6327025,Blackbird Coffee & Breakfast Club,46.520816,6.636398,Breakfast Spot
238,Lausanne,46.5218269,6.6327025,Pizzeria Fratel E Napule,46.52361663838281,6.6293304100793335,Pizza Place
239,Lausanne,46.5218269,6.6327025,Café de l'Evêché,46.521797728151626,6.635780381795271,Café
240,Lausanne,46.5218269,6.6327025,Slice,46.52455461660934,6.631253187002182,Pizza Place
241,Lausanne,46.5218269,6.6327025,L'AO,46.52143001693736,6.636471748352051,French Restaurant
242,Lausanne,46.5218269,6.6327025,Pancs,46.52249,6.628411,Creperie
243,Lausanne,46.5218269,6.6327025,Brasserie Grand-Chêne,46.51970899088133,6.631117201537665,French Restaurant
244,Lausanne,46.5218269,6.6327025,Pearl,46.519962,6.631588,Restaurant
245,Lausanne,46.5218269,6.6327025,Le Cinq restaurant,46.520799,6.632919,French Restaurant
246,Lausanne,46.5218269,6.6327025,"Côté Jardin, Lausanne Palace",46.51933577850406,6.630655356232842,French Restaurant
247,Lausanne,46.5218269,6.6327025,Coccinelle Café,46.521630602882105,6.630929126288113,Snack Place
248,Lausanne,46.5218269,6.6327025,La Couronne d'Or,46.524748180727244,6.634093857323659,Café
249,Lausanne,46.5218269,6.6327025,Chez Xu,46.52489395998293,6.63321923246686,Chinese Restaurant
250,Lausanne,46.5218269,6.6327025,Chez Mario,46.5200069662711,6.636310973080923,Italian Restaurant
251,Lausanne,46.5218269,6.6327025,Pz Pizza,46.52126082937007,6.631925810672703,Pizza Place
252,Lausanne,46.5218269,6.6327025,NingBo,46.52226,6.630627,Cantonese Restaurant
253,Lausanne,46.5218269,6.6327025,Minuit Soleil,46.520979807074724,6.634805802948087,French Restaurant
254,Lausanne,46.5218269,6.6327025,The Green Van Company,46.521442463827604,6.628071803368237,Burger Joint
255,Lausanne,46.5218269,6.6327025,Holy Cow!,46.52270160875405,6.628218591213226,Burger Joint
256,Lausanne,46.5218269,6.6327025,P'tit Bar,46.52168102016236,6.635845502073101,Café
257,Lausanne,46.5218269,6.6327025,Holy Cow!,46.520243294098286,6.636391282081604,Burger Joint
258,Lausanne,46.5218269,6.6327025,Luigia,46.51962154251524,6.637159734922567,Restaurant
259,Lausanne,46.5218269,6.6327025,Laxmi Restaurant indien,46.52184543555128,6.6337498074265,Indian Restaurant
260,Lausanne,46.5218269,6.6327025,La Table d'Edgard,46.51932113158886,6.630528534258327,Molecular Gastronomy Restaurant
261,Lausanne,46.5218269,6.6327025,Fooby Lausanne Bel-Air,46.522433,6.628834,Café
262,Lausanne,46.5218269,6.6327025,Black Bird Downtown Dinner,46.521393105264494,6.630093455314636,English Restaurant
263,Lausanne,46.5218269,6.6327025,Café mood,46.517875,6.635652,Café
264,Lausanne,46.5218269,6.6327025,Abyssinia,46.52434711711776,6.631518089788494,Ethiopian Restaurant
265,Lausanne,46.5218269,6.6327025,Le Java,46.520630917422366,6.63850620080094,Diner
266,Lausanne,46.5218269,6.6327025,Au couscous,46.5200110118049,6.636893960468192,Moroccan Restaurant
